SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC,TEAM_COUNT,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,PACE,PLAYER_LABEL,TEAM_LABEL
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500749,2026-02-07T00:00:00,SAS vs. DAL,W,26.716666666666665,6,14,0.429,1,6,0.167,3,4,0.75,3,8,11,1,0,0,3,0,1,6,16,3,39.7,1,0,35.0,1,1,1,1,42,50,45,53,33,23,47,42,41,41,9,39,33,51,57,45,28,1,6,31,53,51,53,1,2,53,1,26:43,1,0.216,0.508,0.464,115.6,110.9,4.7,0.043,0.097,0.25,0.175,0.0,114.98,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500738,2026-02-05T00:00:00,SAS @ DAL,W,34.45,9,14,0.643,5,9,0.556,6,8,0.75,3,8,11,6,3,2,3,0,4,7,29,14,63.2,1,0,61.0,1,1,1,1,12,24,45,8,4,6,11,27,23,41,9,39,33,4,13,7,28,1,51,16,19,25,16,1,2,14,1,34:27,1,0.244,0.828,0.821,128.4,111.0,17.4,0.24,0.086,0.211,0.151,11.1,102.41,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500730,2026-02-04T00:00:00,SAS vs. OKC,W,28.35,9,16,0.563,1,2,0.5,3,8,0.375,3,11,14,2,2,0,2,1,1,5,22,17,45.8,1,0,43.0,1,1,1,1,35,24,33,18,33,55,13,42,23,60,9,18,17,39,29,45,37,39,6,42,37,18,44,1,2,44,1,28:21,1,0.292,0.564,0.594,123.4,96.9,26.6,0.1,0.1,0.367,0.233,8.7,108.36,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500703,2026-02-01T00:00:00,SAS vs. ORL,W,27.95,7,13,0.538,0,4,0.0,11,15,0.733,0,8,8,2,2,4,5,0,3,7,25,14,62.6,0,0,53.0,1,1,1,1,36,40,51,26,51,38,51,4,2,47,55,39,47,39,29,1,6,1,38,16,33,25,18,43,2,25,1,27:57,1,0.318,0.638,0.538,119.7,95.2,24.5,0.118,0.0,0.235,0.138,8.7,105.62,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500697,2026-01-31T00:00:00,SAS @ CHA,L,30.606666666666666,6,15,0.4,0,3,0.0,4,4,1.0,3,5,8,1,2,1,0,0,2,4,16,-14,28.1,0,0,27.0,1,51,51,51,25,50,38,56,51,45,51,36,41,1,9,57,47,51,29,16,61,1,18,48,53,60,62,43,2,61,1,30:36,1,0.306,0.477,0.4,115.5,137.3,-21.8,0.056,0.111,0.185,0.148,10.0,91.74,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500679,2026-01-28T00:00:00,SAS @ HOU,W,28.596666666666668,8,15,0.533,0,3,0.0,12,15,0.8,3,13,16,3,4,2,5,2,4,10,28,6,68.7,1,0,61.0,1,1,1,1,34,30,38,27,51,45,51,2,2,38,9,9,6,23,8,7,6,58,51,6,23,42,14,1,2,14,1,28:36,1,0.394,0.648,0.533,113.3,100.0,13.3,0.176,0.125,0.317,0.246,13.8,102.39,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500654,2026-01-25T00:00:00,SAS vs. NOP,L,31.35,6,16,0.375,2,10,0.2,2,6,0.333,1,15,16,0,3,0,4,0,3,7,16,-12,44.2,1,0,42.0,1,51,51,51,21,50,33,57,18,3,43,51,32,61,38,5,6,64,13,45,18,1,38,16,53,58,46,1,2,45,1,31:21,1,0.3,0.429,0.438,90.6,106.1,-15.4,0.0,0.029,0.385,0.219,14.3,99.52,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500632,2026-01-22T00:00:00,SAS @ UTA,W,32.61666666666667,9,14,0.643,4,7,0.571,4,4,1.0,1,13,14,3,3,1,5,0,2,5,26,19,62.3,1,0,59.0,1,1,1,1,18,24,45,8,7,15,10,36,41,1,38,9,17,23,13,16,6,1,18,42,27,14,20,1,2,18,1,32:37,1,0.25,0.825,0.786,132.8,104.5,28.4,0.136,0.036,0.394,0.23,14.3,98.6,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500615,2026-01-20T00:00:00,SAS @ HOU,L,29.705,5,21,0.238,0,7,0.0,4,4,1.0,5,5,10,2,1,0,0,1,4,5,14,-14,28.0,1,0,26.0,1,51,51,51,30,58,11,64,51,15,51,36,41,1,5,57,39,39,46,45,61,39,51,42,58,60,63,1,2,63,1,29:42,1,0.316,0.308,0.238,93.5,116.1,-22.6,0.118,0.114,0.192,0.143,3.8,100.19,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500611,2026-01-19T00:00:00,SAS vs. UTA,W,26.383333333333333,10,18,0.556,7,12,0.583,6,6,1.0,1,9,10,1,1,2,2,1,3,6,33,8,57.5,1,0,59.0,1,1,1,1,44,17,26,19,2,2,9,27,32,1,38,30,39,51,46,7,37,39,38,31,12,38,26,1,2,18,1,26:23,1,0.379,0.799,0.75,125.0,108.8,16.2,0.077,0.043,0.36,0.208,4.3,102.79,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500598,2026-01-17T00:00:00,SAS vs. MIN,W,30.516666666666666,12,23,0.522,4,9,0.444,11,14,0.786,4,5,9,3,2,0,2,1,2,9,39,5,58.3,0,0,59.0,1,1,1,1,26,8,4,30,7,6,20,4,5,40,6,57,43,23,29,45,37,39,18,9,6,45,24,43,2,18,1,30:31,1,0.413,0.669,0.609,139.1,127.3,11.8,0.15,0.143,0.161,0.153,5.9,102.24,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500582,2026-01-15T00:00:00,SAS vs. MIL,W,21.716666666666665,7,12,0.583,5,6,0.833,3,3,1.0,1,9,10,1,1,0,2,0,2,3,22,27,40.5,1,0,42.0,1,1,1,1,57,40,54,14,4,23,5,42,50,1,38,30,39,51,46,45,37,1,18,57,37,7,50,1,2,45,1,21:43,1,0.292,0.826,0.792,153.3,91.3,62.0,0.063,0.071,0.333,0.244,6.7,100.57,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500568,2026-01-13T00:00:00,SAS @ OKC,L,27.733333333333334,7,15,0.467,0,1,0.0,3,6,0.5,4,3,7,1,1,0,1,2,2,7,17,-14,28.9,0,0,27.0,1,51,51,51,37,40,38,44,51,60,51,42,32,54,6,63,58,51,46,45,49,58,18,16,50,60,61,43,2,61,1,27:44,1,0.297,0.482,0.467,103.5,130.4,-26.8,0.077,0.143,0.143,0.143,5.0,97.79,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500552,2026-01-11T00:00:00,SAS @ MIN,L,26.988333333333333,8,18,0.444,3,9,0.333,10,10,1.0,1,6,7,1,1,3,0,0,5,6,29,17,46.9,0,0,46.0,1,51,51,51,40,30,26,49,12,6,27,6,15,1,38,51,58,51,46,2,61,1,58,31,19,18,43,43,2,40,1,26:59,1,0.339,0.647,0.528,127.8,98.1,29.7,0.071,0.037,0.176,0.115,4.5,95.15,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500545,2026-01-10T00:00:00,SAS @ BOS,W,26.416666666666668,8,17,0.471,1,4,0.25,4,4,1.0,0,6,6,1,0,0,3,1,0,4,21,15,38.7,0,0,35.0,1,1,1,1,43,30,29,40,33,38,37,36,41,1,55,51,61,51,57,45,28,39,1,48,41,22,54,43,2,53,1,26:25,1,0.286,0.56,0.5,114.5,88.9,25.7,0.063,0.0,0.194,0.097,0.0,99.03,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500523,2026-01-07T00:00:00,SAS vs. LAL,W,25.965,7,15,0.467,0,3,0.0,2,4,0.5,1,13,14,2,4,2,4,0,3,4,16,9,49.8,1,0,44.0,1,1,1,1,49,40,38,44,51,45,51,51,41,54,38,9,17,39,8,7,18,1,38,48,53,37,39,1,2,43,1,25:58,1,0.356,0.477,0.467,101.9,83.6,18.2,0.118,0.043,0.371,0.241,17.4,100.75,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500512,2026-01-06T00:00:00,SAS @ MEM,L,21.016666666666666,10,20,0.5,3,6,0.5,7,8,0.875,0,5,5,3,2,1,1,1,2,6,30,2,44.5,0,0,45.0,1,51,51,51,61,17,18,31,12,23,13,24,23,30,55,57,62,23,29,16,49,39,18,31,18,53,45,43,2,41,1,21:01,1,0.472,0.638,0.575,108.3,102.0,6.3,0.333,0.0,0.172,0.093,7.1,110.77,Victor Wembanyama,SAS
2025-26,1641705,Victor Wembanyama,Victor,1610612759,SAS,San Antonio Spurs,0022500467,2025-12-31T00:00:00,SAS vs. NYK,W,23.716666666666665,10,12,0.833,2,2,1.0,9,10,0.9,2,11,13,1,3,0,1,0,3,7,31,17,48.1,1,0,49.0,1,1,1,1,54,17,54,2,18,55,1,14,15,26,21,18,22,51,13,45,49,1,38,16,15,18,42,1,2,31,1,23:43,1,0.328,0.945,0.917,139.2,105.9,33.3,0.071,0.091,0.44,0.277,15.0,103.22,Victor Wembanyama,SAS
